SECAO_CNAE	CATEGORIA_NATUREZA_JURIDICA	PORTE	QTD_FILIAIS_ATIVAS	COMPETICAO_MERCADO_ESTADUAL	QTD_ABERTURAS_NACIONAL_5_ANOS	QTD_ABERTURAS_ESTADUAL_5_ANOS	QTD_ABERTURAS_GEORREFERENCIADO_5_ANOS	QTD_FECHAMENTOS_NACIONAL_5_ANOS	QTD_FECHAMENTOS_ESTADUAL_5_ANOS	QTD_FECHAMENTOS_GEORREFERENCIADO_5_ANOS	RAZAO_SITUACAO_MERCADO_NACIONAL_5_ANOS	RAZAO_SITUACAO_MERCADO_ESTADUAL_5_ANOS	RAZAO_SITUACAO_MERCADO_GEORREFERENCIADO_5_ANOS	TAXA_SOBREVIVENCIA_MERCADO_5_ANOS	TAXA_SOBREVIVENCIA_MERCADO_10_ANOS	PORTE_FATURAMENTO_PRESUMIDO	QTD_COLABORADORES	CONCENTRACAO_SOCIETARIA	RISCO_LIDERANCA	QTD_RECLAMACOES_TOTAL	QTD_RECLAMACOES_NAO_ATENDIDAS_TOTAL	QTD_PROCESSOS_JUDICIAIS_REQUERIDO	QTD_PROCESSOS_JUDICIAIS_REQUERENTE	CONCENTRACAO_ACADEMIAS	CONCENTRACAO_AEROPORTOS	CONCENTRACAO_ALUGUEL_CARROS	CONCENTRACAO_AREA_RISCO	CONCENTRACAO_BANCOS	CONCENTRACAO_BARES	CONCENTRACAO_BEBIDAS	CONCENTRACAO_BOMBEIRO	CONCENTRACAO_CAIXA_ELETRONICO	CONCENTRACAO_CASA_NOTURNA	CONCENTRACAO_CEMITERIO	CONCENTRACAO_CINEMAS	CONCENTRACAO_CONCESSIONARIA	CONCENTRACAO_CORREIOS	CONCENTRACAO_CORRETOR_SEGUROS	CONCENTRACAO_ESCOLAS	CONCENTRACAO_ESTACAO_ONIBUS	CONCENTRACAO_ESTACIONAMENTOS	CONCENTRACAO_AGLOMERADO_SUBNORMAL	CONCENTRACAO_FUNERARIA	CONCENTRACAO_HOSPITAL	CONCENTRACAO_HOTEL	CONCENTRACAO_IGREJA	CONCENTRACAO_LAVA_RAPIDO	CONCENTRACAO_METRO	CONCENTRACAO_OFICINAS	CONCENTRACAO_PARQUE	CONCENTRACAO_PARQUES_DIVERSAO	CONCENTRACAO_POLICIA	CONCENTRACAO_PONTO_TAXI	CONCENTRACAO_POSTO_GASOLINA	CONCENTRACAO_PREFEITURA	CONCENTRACAO_SHOPPING	CONCENTRACAO_SUPERMERCADO	CONCENTRACAO_TREM	CONCENTRACAO_UNIVERSIDADE	DISTANCIA_ALUGUEL_CARROS	DISTANCIA_BANCO	DISTANCIA_CONCESSIONARIA	DISTANCIA_CORRETOR_SEGUROS	DISTANCIA_ACADEMIAS	DISTANCIA_AEROPORTOS	DISTANCIA_BARES	DISTANCIA_LOJA_BEBIDAS	DISTANCIA_BOMBEIRO	DISTANCIA_CAIXA_ELETRONICO	DISTANCIA_CASA_NOTURNA	DISTANCIA_CEMITERIO	DISTANCIA_CINEMAS	DISTANCIA_CORREIOS	DISTANCIA_ESCOLAS	DISTANCIA_ESTACAO_ONIBUS	DISTANCIA_AGLOMERADO_SUBNORMAL	DISTANCIA_FRONTEIRA_ESTADUAL	DISTANCIA_FRONTEIRA_INTERNACIONAL	DISTANCIA_FRONTEIRA_MARITIMA	DISTANCIA_FUNERARIA	DISTANCIA_HOSPITAL	DISTANCIA_HOTEL	DISTANCIA_IGREJA	DISTANCIA_LAVA_RAPIDO	DISTANCIA_METRO	DISTANCIA_OFICINAS	DISTANCIA_PARQUE	DISTANCIA_PARQUES_DIVERSAO	DISTANCIA_POLICIA	DISTANCIA_POSTO_GASOLINA	DISTANCIA_PREFEITURA	DISTANCIA_SHOPPING	DISTANCIA_SUPERMERCADO	DISTANCIA_TREM	DISTANCIA_ESTACIONAMENTOS	DISTANCIA_PONTO_TAXI	DISTANCIA_UNIVERSIDADE	DISTANCIA_AREA_RISCO	CNPJ	ANO_MES	ALVO_CASCO
G	LTDA	MICRO	1	21767	189203	9129	483	170226	7232	387	1.1114812073361295	1.2623064159292035	1.248062015503876	0.11709935370796364	0.2482975716304767		1	1	0	0	0	0	0	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	MEDIO	LONGE	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	PROXIMO	LONGE	LONGE	MUITO LONGE	MUITO LONGE	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	MUITO LONGE	MEDIO	LONGE	LONGE	MEDIO	MEDIO	LONGE	PROXIMO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	68719478323	202401	0.0
I	LTDA	MEDIA	1	70462	913436	54617	1493	915282	60995	1705	0.9979831352523048	0.8954340519714731	0.8756598240469208	0.2714539429115477	0.4148979524402198	F	68	3	0	0	0	0	2	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	BAIXISSIMA	ALTA	PROXIMO	MUITO PROXIMO	MUITO PROXIMO	MUITO PROXIMO	MUITO PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MUITO PROXIMO	PROXIMO	PROXIMO	PROXIMO	MUITO LONGE	PROXIMO	MEDIO	MEDIO	MUITO LONGE	MUITO LONGE	LONGE	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	MUITO LONGE	PROXIMO	PROXIMO	PROXIMO	PROXIMO	LONGE	MUITO PROXIMO	PROXIMO	MUITO PROXIMO	MEDIO	94489280675	202112	0.0
C	LTDA	MEDIA	1	129	263	40	10	412	39	10	0.6383495145631068	1.0256410256410255	1.0	0.175	0.21951219512195122	F	41	2	0	0	0	0	0	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	MEDIA	MEDIA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXA	ALTA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	LONGE	MUITO LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	MUITO LONGE	LONGE	LONGE	MUITO LONGE	LONGE	LONGE	MEDIO	MUITO LONGE	MEDIO	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	LONGE	LONGE	MUITO PROXIMO	MUITO LONGE	LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	LONGE	LONGE	LONGE	LONGE	MUITO LONGE	247	202107	0.0
M	LTDA	MEDIA	1	47052	67598	26044	208	48222	17922	159	1.4018083032640702	1.4531860283450508	1.3081761006289307	0.12083397327599447	0.216092949779601		0	4	1	0	0	1	2	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	PROXIMO	MEDIO	LONGE	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MEDIO	MEDIO	LONGE	MUITO LONGE	PROXIMO	PROXIMO	MEDIO	LONGE	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	LONGE	MEDIO	LONGE	MEDIO	PROXIMO	MEDIO	PROXIMO	MEDIO	MUITO PROXIMO	25769803999	202303	0.0
G	LTDA	GRANDE	3	2674	5392	1277	19	12575	2313	64	0.4287872763419483	0.5520968439256377	0.296875	0.21378230227094752	0.3456521739130435	G	89	3	0	0	0	2	14	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	BAIXISSIMA	ALTISSIMA	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	LONGE	LONGE	PROXIMO	MEDIO	PROXIMO	MEDIO	LONGE	PROXIMO	MEDIO	LONGE	MUITO LONGE	LONGE	LONGE	LONGE	MEDIO	LONGE	MEDIO	MEDIO	LONGE	MEDIO	PROXIMO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MUITO PROXIMO	77309411441	202105	0.0
G	LTDA	GRANDE	3	870	3040	330	24	2167	195	24	1.4028610982925704	1.6923076923076923	1.0	0.045454545454545456	0.1070110701107011	G	43	3	0	0	0	0	1	ALTISSIMA	BAIXISSIMA	ALTA	BAIXISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	BAIXISSIMA	ALTA	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	LONGE	MEDIO	MEDIO	LONGE	MEDIO	MEDIO	MEDIO	LONGE	PROXIMO	PROXIMO	MEDIO	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MUITO LONGE	MEDIO	LONGE	MUITO LONGE	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	MUITO LONGE	PROXIMO	MUITO LONGE	PROXIMO	LONGE	128849019508	202303	0.0
H	LTDA	PEQUENA	1	271873	608563	220376	845	284383	110688	552	2.1399415576880476	1.9909655969933506	1.5307971014492754	0.1748193995716412	0.278446942517739	B	2	17	0	0	0	0	0	ALTA	BAIXISSIMA	ALTA	MEDIA	ALTISSIMA	ALTISSIMA	ALTA	MEDIA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	BAIXISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	MEDIA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	BAIXISSIMA	ALTA	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	LONGE	MEDIO	MEDIO	LONGE	PROXIMO	LONGE	MEDIO	PROXIMO	LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	PROXIMO	PROXIMO	LONGE	PROXIMO	MEDIO	MUITO LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	LONGE	MEDIO	LONGE	MEDIO	PROXIMO	MEDIO	LONGE	60129543420	202311	0.0
H	LTDA	MICRO	5	10144	615936	8869	367	275213	3305	121	2.2380338138096674	2.6835098335854766	3.0330578512396693	0.18446273537039126	0.26010441226002023	E	19	1	0	0	0	1	0	ALTA	ALTISSIMA	ALTA	BAIXISSIMA	ALTA	MEDIA	ALTA	ALTISSIMA	ALTA	ALTA	BAIXISSIMA	MEDIA	ALTA	ALTA	ALTA	MEDIA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	MEDIA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	MEDIA	BAIXISSIMA	ALTA	MEDIA	BAIXISSIMA	ALTA	MUITO PROXIMO	PROXIMO	MEDIO	MEDIO	LONGE	PROXIMO	PROXIMO	LONGE	PROXIMO	MUITO PROXIMO	PROXIMO	LONGE	LONGE	MUITO PROXIMO	MUITO LONGE	MEDIO	LONGE	MEDIO	MUITO LONGE	MUITO LONGE	LONGE	LONGE	MEDIO	LONGE	MEDIO	PROXIMO	LONGE	LONGE	MEDIO	PROXIMO	MEDIO	MUITO LONGE	MEDIO	MUITO LONGE	MUITO LONGE	PROXIMO	LONGE	LONGE	LONGE	146028891668	202312	0.0
R	LTDA	MICRO	1	31542	72100	22658	150	62172	16844	101	1.1596860322974973	1.3451674186654001	1.4851485148514851	0.21197810927707653	0.34719564257323715	F	39	2	0	0	0	1	2	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	MEDIA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	MEDIA	ALTA	ALTISSIMA	MEDIA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	MEDIA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	LONGE	MUITO LONGE	MEDIO	MEDIO	LONGE	PROXIMO	LONGE	MEDIO	PROXIMO	LONGE	PROXIMO	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	PROXIMO	PROXIMO	PROXIMO	MEDIO	MUITO PROXIMO	120259086750	202110	0.0
M	LTDA	MEDIA	5	27741	51308	14124	205	27925	8036	173	1.8373500447627573	1.7575908412145347	1.1849710982658959	0.10131690739167375	0.19448712155445097	F	6	3	0	0	0	0	4	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	MEDIA	ALTISSIMA	ALTISSIMA	MEDIA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	MEDIA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	PROXIMO	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MUITO PROXIMO	MEDIO	MEDIO	MEDIO	LONGE	MUITO LONGE	MEDIO	MEDIO	MEDIO	PROXIMO	LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	LONGE	PROXIMO	MUITO PROXIMO	PROXIMO	MEDIO	MUITO PROXIMO	146028888737	202105	0.0
H	LTDA	MICRO	1	42565	353563	20080	735	207229	16053	671	1.7061463405218382	1.2508565377188066	1.0953800298062593	0.15697211155378485	0.2696592218624815	C	5	1	0	0	0	1	1	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	MEDIA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	MEDIA	BAIXA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXA	MEDIA	BAIXISSIMA	BAIXA	BAIXISSIMA	BAIXISSIMA	LONGE	PROXIMO	MUITO LONGE	LONGE	MEDIO	MEDIO	PROXIMO	LONGE	LONGE	PROXIMO	MUITO LONGE	PROXIMO	LONGE	PROXIMO	MEDIO	LONGE	LONGE	LONGE	MUITO LONGE	MEDIO	LONGE	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	MUITO LONGE	LONGE	LONGE	LONGE	PROXIMO	PROXIMO	LONGE	MEDIO	MEDIO	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	154618824028	202101	0.0
H	LTDA	MEDIA	1	192806	375607	143619	2313	257542	97717	1475	1.4584300813071267	1.4697442614898124	1.568135593220339	0.1941177699329476	0.31045861523217705	E	33	2	0	0	0	1	2	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	MEDIA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	MEDIA	ALTA	BAIXISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	MEDIO	LONGE	LONGE	MEDIO	LONGE	PROXIMO	LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	LONGE	PROXIMO	PROXIMO	LONGE	MUITO LONGE	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	MEDIO	LONGE	PROXIMO	PROXIMO	PROXIMO	LONGE	MEDIO	LONGE	LONGE	PROXIMO	PROXIMO	MEDIO	MEDIO	MUITO PROXIMO	146028888130	202104	0.0
G	LTDA	MEDIA	15	28	2053	7	7	3927	11	11	0.5227909345556404	0.6363636363636364	0.6363636363636364	0.0	0.08333333333333333	G	26	3	1	1	0	3	19	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	LONGE	MEDIO	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MUITO PROXIMO	MEDIO	PROXIMO	LONGE	PROXIMO	MUITO LONGE	MEDIO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MUITO LONGE	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MEDIO	MEDIO	MUITO LONGE	MEDIO	MEDIO	PROXIMO	MUITO LONGE	154618823194	202203	0.0
G	LTDA	PEQUENA	1	2222	10856	946	43	9856	1114	33	1.1014610389610389	0.8491921005385996	1.303030303030303	0.1416490486257928	0.3051490514905149	E	21	1	0	0	0	0	0	ALTA	BAIXISSIMA	ALTA	ALTISSIMA	MEDIA	ALTA	ALTA	ALTISSIMA	MEDIA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	MEDIA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	MEDIA	ALTISSIMA	BAIXISSIMA	MEDIA	MEDIA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTA	MEDIO	MEDIO	LONGE	PROXIMO	MEDIO	LONGE	MEDIO	LONGE	MEDIO	MEDIO	PROXIMO	PROXIMO	MEDIO	LONGE	MEDIO	MEDIO	MEDIO	PROXIMO	MUITO LONGE	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	PROXIMO	LONGE	LONGE	PROXIMO	MEDIO	MEDIO	LONGE	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	34359738410	202402	0.0
G	LTDA	PEQUENA	1	149285	286201	81127	1475	265631	89149	1354	1.07743825080657	0.9100158162177927	1.089364844903988	0.2142073539019069	0.35522515270609406		0	1	1	0	0	0	0	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	MEDIO	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MEDIO	MEDIO	PROXIMO	PROXIMO	LONGE	PROXIMO	PROXIMO	PROXIMO	MEDIO	MEDIO	LONGE	MUITO LONGE	MUITO LONGE	LONGE	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	LONGE	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	34359742116	202006	0.0
K	LTDA	PEQUENA	1	138	823	43	1	776	49	0	1.0605670103092784	0.8775510204081632	1.0	0.046511627906976744	0.1527777777777778	D	9	3	0	0	0	15	16	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	MEDIA	MEDIA	MEDIA	ALTA	MEDIA	ALTISSIMA	BAIXISSIMA	BAIXISSIMA	ALTISSIMA	ALTA	ALTA	BAIXISSIMA	ALTA	MEDIA	ALTA	MEDIA	MEDIA	BAIXISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	BAIXISSIMA	ALTA	ALTA	ALTISSIMA	MEDIA	ALTA	BAIXISSIMA	MEDIA	LONGE	LONGE	LONGE	MUITO LONGE	LONGE	MEDIO	LONGE	LONGE	MEDIO	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	LONGE	MUITO LONGE	MUITO LONGE	MEDIO	LONGE	LONGE	LONGE	LONGE	LONGE	MEDIO	MEDIO	LONGE	LONGE	MUITO LONGE	LONGE	LONGE	LONGE	MEDIO	MEDIO	LONGE	LONGE	LONGE	MUITO PROXIMO	154618825202	202309	0.0
M	LTDA	PEQUENA	1	13760	62763	8736	466	32671	5510	225	1.9210614918429187	1.585480943738657	2.071111111111111	0.17548076923076922	0.26505470961818045		0	1	0	0	0	0	0	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	LONGE	PROXIMO	MUITO LONGE	PROXIMO	PROXIMO	MUITO LONGE	LONGE	MUITO LONGE	MUITO LONGE	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MUITO LONGE	MEDIO	PROXIMO	LONGE	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	LONGE	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	17179870992	202207	0.0
C	OUTRAS_ENTIDADES_EMPRESARIAIS	GRANDE	1	85	246	24	1	222	10	1	1.1081081081081081	2.4	1.0	0.0	0.11538461538461539	G	33	2	0	0	0	0	0	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	ALTA	BAIXISSIMA	BAIXA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MUITO LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	LONGE	LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO PROXIMO	LONGE	MUITO LONGE	MEDIO	PROXIMO	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO PROXIMO	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO LONGE	MUITO PROXIMO	34359738962	202009	0.0
